InputText,Intent                             
please move to the next phase,next_phase
move to the next phase,next_phase
next phase please,next_phase
next step,next_phase
carry on to the next step,next_phase
move to the next step,next_phase
proceed to the next step,next_phase
proceed to the next phase,next_phase
move to next step,next_phase
please carry on to the next step,next_phase
please move to the next step,next_phase
please proceed to the next step,next_phase
please proceed to the next phase,next_phase
please move to next step,next_phase
please move to the next step,next_phase
move ahead to the next phase,next_phase
i want to move to next phase,next_phase
i wanna move to the next phase,next_phase
i want to move to next step of pentest,next_phase
let's move to the next phase,next_phase
can we proceed to the next step,next_phase
let's move forward to the next phase,next_phase
onwards to the next phase,next_phase
time to move to the next step,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase
let's move forward,next_phase
let's go forward,next_phase
let's continue,next_phase
can we proceed,next_phase
let's advance,next_phase
can we move forward,next_phase
on to the next phase,next_phase
let's carry on,next_phase
let's progress,next_phase
can we move on,next_phase
let's go to the next step of the pentest,next_phase
time for the next step,next_phase
let's move on,next_phase
we're ready for the next phase,next_phase
let's proceed,next_phase
let's move,next_phase
let's carry on,next_phase
we're ready to move,next_phase
let's move forward,next_phase
time for the next phase,next_phase
let's advance,next_phase
can we proceed,next_phase
let's go to the next phase,next_phase
onwards to the next step,next_phase
time to move to the next phase,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase
let's move forward,next_phase
let's go forward,next_phase
let's continue,next_phase
can we proceed,next_phase
let's advance,next_phase
can we move forward,next_phase
on to the next phase,next_phase
let's carry on,next_phase
let's progress,next_phase
can we move on,next_phase
let's move to the next step of the pentest,next_phase
time for the next step,next_phase
let's move on,next_phase
we're ready for the next phase,next_phase
let's proceed,next_phase
let's move,next_phase
let's carry on,next_phase
we're ready to move,next_phase
let's move forward,next_phase
time for the next phase,next_phase
let's advance,next_phase
can we proceed,next_phase
let's go to the next phase,next_phase
onwards to the next step,next_phase
time to move to the next phase,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase                               
can you tell me more about it?,query
can i know more?,query
can you tell me more,query
please tell me more,query
please elaborate,query
give more details,query
give details,query
please tell me more about it,query
could you explain further?,query
what additional information can you provide?,query
may I ask for more details?,query
could you elaborate on that?,query
please provide more context,query
I'd like to learn more,query
can you shed more light on this?,query
could you expand on this?,query
can you clarify?,query
what else can you tell me?,query
please share more information,query
could you give me more details?,query
I'm curious to know more,query
can you provide more information?,query
I have a question,query
what more can you tell me?,query
please explain further,query
I need more details,query
I'd like more information,query
can you tell me more about this?,query
could you elaborate?,query
please provide additional details,query
what do you mean by that?,query
could you give me more context?,query
I'd like to know more,query
please explain in more detail,query
what's the next step?,query
what should I do next?,query
how can I proceed?,query
what happens next?,query
can you clarify that?,query
what's the plan?,query
what's the procedure?,query
I need more information,query
please provide details,query
can you elaborate on this?,query
what's the process?,query
please provide more information,query
could you explain that further?,query
I'd like to learn more about this,query
can you give me more details?,query
please explain further,query
I'm interested to know more,query
can you provide additional information?,query
what's the next phase?,query
what's the next step in the process?,query
what do I need to do next?,query
what's the next course of action?,query
could you elaborate on this topic?,query
I'd like more clarification,query
can you explain further?,query
what else can you tell me about this?,query
I'd like to know more details,query
what's the next stage?,query
how does it work?,query
what's the next move?,query
what are the details?,query
what's the plan of action?,query
could you explain this in more detail?,query
what do you suggest?,query
what's the next part of the process?,query
how can I proceed from here?,query
what's the next step to take?,query
can you tell me more information?,query
please provide more details,query
what should I do next?,query
what's the next phase of the project?,query
what else should I know?,query
can you provide more context?,query
what's the next item on the agenda?,query
can you give me more information about this?,query
what else can you share?,query
can you elaborate on this subject?,query
please give more details,query
I'm seeking further clarification,query
what else should I be aware of?,query
can you provide more specifics?,query
what's the next action item?,query
what more can you tell me about this?,query
could you explain this further?,query
what's the next task?,query
what else do I need to know?,query
please provide additional information,query
can you provide more insights?,query
what's the next step in the process?,query
what's the next thing to do?,query
can you provide more details?,query
I'm interested in learning more,query
could you explain this in more detail?,query
what's the next action?,query
what else is there to know?,query                               
yes,affirmation
absolutely,affirmation
sure thing,affirmation
definitely,affirmation
indeed,affirmation
you bet,affirmation
no doubt,affirmation
certainly,affirmation
of course,affirmation
without a doubt,affirmation
for sure,affirmation
totally,affirmation
yeah,affirmation
okay,affirmation
alright,affirmation
yep,affirmation
okie dokie,affirmation
ok,affirmation
ok sure,affirmation
okay sure,affirmation
yeah okay,affirmation
okay why not,affirmation
affirmative,affirmation
yea,affirmation
I agree,affirmation
that's right,affirmation
please do,affirmation
sure thing,affirmation
count me in,affirmation
I'm on board,affirmation
absolutely I'd love to,affirmation
I'm interested,affirmation
sounds good to me,affirmation
I'm in,affirmation
let's do it,affirmation
I'm on it,affirmation
let's proceed,affirmation
I'm ready,affirmation
go ahead,affirmation
I'm all for it,affirmation
that works for me,affirmation
I'm excited about this,affirmation
I'm eager to get started,affirmation
absolutely let's move forward,affirmation
of course I'm ready,affirmation
yes let's proceed,affirmation
sounds good I'm in,affirmation
yes please continue,affirmation
yes I'm interested,affirmation
definitely let's go ahead,affirmation
of course I'm on board,affirmation
yes I'm ready to proceed,affirmation
certainly let's move on,affirmation
count me in I'm eager to participate,affirmation
I'm excited about this opportunity,affirmation
I'm on board with this plan,affirmation
yes I'm enthusiastic about this,affirmation
absolutely I'm all for it,affirmation
of course let's proceed with that,affirmation
yes I'm looking forward to it,affirmation
sounds great I'm interested,affirmation
yes I'm eager to learn more,affirmation
absolutely I agree with that approach,affirmation
sure thing let's move forward,affirmation
certainly I'm ready for the next step,affirmation
of course I'm interested in participating,affirmation
yes I'm excited to be involved,affirmation
count me in I'm ready to proceed,affirmation
I'm on board let's do this,affirmation
yes I'm fully supportive,affirmation
I'm looking forward to it,affirmation
absolutely I'm committed to this,affirmation
of course I'm keen to get started,affirmation
yes I'm eager to move forward,affirmation
sounds good count me in,affirmation
yes please continue with that,affirmation
I'm ready to proceed,affirmation
let's move forward with that,affirmation
absolutely let's go ahead with that plan,affirmation
of course I'm prepared to move forward,affirmation
yes I'm excited to participate,affirmation
sounds good I'm on board,affirmation
yes I'm eager to join,affirmation
definitely I'm interested in this,affirmation
count me in I'm ready for the next step,affirmation
I'm enthusiastic about this opportunity,affirmation
I'm fully supportive of this,affirmation
yes I'm keen to be involved,affirmation
absolutely I'm looking forward to it,affirmation
of course I'm committed to this approach,affirmation
yes I'm ready to proceed with this,affirmation
sounds good I'm excited to participate,affirmation
let's move forward with that,affirmation
sure thing I'm on board with this,affirmation
certainly I'm eager to join,affirmation
of course I'm interested in moving forward,affirmation
yes I'm enthusiastic about this,affirmation
sounds good I'm eager to be involved,affirmation                               
no thanks,negation
not interested,negation
I'm not feeling it,negation
I'd rather not,negation
I'll pass on that,negation
nope not today,negation
I'm not up for it,negation
not my thing,negation
I'd rather not thanks,negation
no I'm good,negation
not in the mood,negation
I'm going to skip this one,negation
I'll have to decline,negation
I'm not feeling up to it,negation
I don't want to thanks,negation
I'm not interested in that,negation
I'm not up for that right now,negation
not right now thanks,negation
I'd rather not do that,negation
no I'm not interested,negation
I'm not feeling this,negation
I'm not in the mood for that,negation
not today thanks,negation
I'm not into it,negation
I'm not really feeling that,negation
I'm not up for that today,negation
I'd rather not thank you,negation
no I don't think so,negation
not at the moment thanks,negation
I'm not feeling up for that,negation
I'm not really interested in that,negation
I'll have to pass on that,negation
I'm not really into that,negation
I don't think I want to,negation
not today sorry,negation
I'm not really feeling up for it,negation
I'm not up for that at the moment,negation
I'm not really into that right now,negation
not this time thanks,negation
I don't want to do that,negation
I'm not interested in this,negation
I'm not up for that today,negation
I'm not really feeling up to that,negation
I don't feel like it,negation
I'm not really feeling up for this,negation
I'm not really into this right now,negation
I'm not interested in that right now,negation
I'm not really up for that,negation
I'm not up for it today,negation
not today I'm afraid,negation
I'm not really feeling that today,negation
I'm not feeling up to that today,negation
I'm not feeling up for this right now,negation
I'm not really into this at the moment,negation
I'm not really feeling up to this right now,negation
I'm not really into that at the moment,negation
I'm not really feeling up for this at the moment,negation
I'm not really into that today,negation
I'm not really feeling this right now,negation
I'm not really interested in this right now,negation
